ID,A,B,NEITHER
test-1,0.0034306183665198295,0.9677472504053621,0.02882213122811793
test-2,0.960135899624494,0.022345393432711597,0.017518706942794404
test-3,0.977425823452048,0.0012589627731136766,0.021315213774838308
test-4,0.010484992200540178,0.9516935938023098,0.037821413997150076
test-5,0.9739794956463782,0.0025532019677115456,0.023467302385910254
test-6,0.7110014929422039,0.2865041087707258,0.0024943982870701126
test-7,0.9143774194787284,0.07521060133656156,0.010411979184709963
test-8,0.11625730697875912,0.7806903991219106,0.10305229389933025
test-9,0.9368918098281314,0.0002588919889803728,0.06284929818288842
test-10,0.0012353632336663638,0.9498599547795122,0.04890468198682142
test-11,0.0036597224460410086,0.93496858032926,0.061371697224698936
test-12,0.03591870144549015,0.22161061182344347,0.7424706867310663
test-13,0.015791184496049167,0.9239777221968567,0.06023109330709423
test-14,0.001054091509474388,0.9361606403316194,0.0627852681589062
test-15,0.9164306212197294,0.05390687135995496,0.02966250742031561
test-16,0.9314802991399436,0.05666888756883957,0.011850813291216799
test-17,0.9630450914216249,0.0004586826723175736,0.03649622590605756
test-18,0.0008247374773989035,0.6580228435345786,0.34115241898802245
test-19,0.7895634853970668,0.20689520794394886,0.0035413066589844483
test-20,0.8868987684394148,0.04007748194659902,0.073023749613986
test-21,0.008648681610945374,0.9528095814092314,0.038541736979823264
test-22,0.6462743395566111,0.3458187411446723,0.007906919298716565
test-23,0.769668719197226,0.218740641531975,0.01159063927079893
test-24,0.9505648027665217,0.006715220099088763,0.042719977134389436
test-25,0.6239066685302872,0.36932928728143616,0.006764044188276565
test-26,0.0033153593390038987,0.9639048198922325,0.03277982076876357
test-27,0.9057637313858362,0.07280050568135239,0.021435762932811415
test-28,0.07315332873865842,0.7576312605494949,0.1692154107118465
test-29,0.020427143547299322,0.9109428307780788,0.068630025674622
test-30,0.5669134759624658,0.42256324322029437,0.01052328081723978
test-31,0.02662379079786559,0.8756956993074579,0.0976805098946765
test-32,0.056879328371275864,0.7579917878069548,0.1851288838217694
test-33,0.5952882957166179,0.4011403974836928,0.003571306799689347
test-34,0.486753865307743,0.49312747890113107,0.02011865579112595
test-35,0.4160794211160774,0.5560255136633405,0.027895065220581945
test-36,0.28399333069499505,0.6988241976532262,0.017182471651778632
test-37,0.006443501098717467,0.9229955650815745,0.07056093381970806
test-38,0.013358085677036875,0.9153110675527496,0.07133084677021348
test-39,0.009181245137225983,0.9275954472171188,0.06322330764565522
test-40,0.8929332642203972,0.00029570589787984486,0.10677102988172303
test-41,0.01701669526797769,0.9448130298583186,0.03817027487370371
test-42,0.18081248523731958,0.04386021675432239,0.775327298008358
test-43,0.9578207911343137,0.033387922875747024,0.008791285989939309
test-44,0.12115314403146853,0.844625364850711,0.03422149111782038
test-45,0.03791665287346275,0.8779146674629548,0.08416867966358249
test-46,0.7162333058836068,0.27888681927639547,0.004879874839997647
test-47,0.04218991924481338,0.9157769339281815,0.04203314682700513
test-48,0.8146317512031482,0.000373395183241272,0.18499485361361048
test-49,0.04103382505275763,0.9294703574812837,0.029495817465958588
test-50,0.12925962444713762,0.051586841512333045,0.8191535340405294
test-51,0.0971231462922843,0.4258630775120636,0.4770137761956521
test-52,0.966748595156368,0.002335254694334699,0.03091615014929739
test-53,0.5835771867338149,0.41140488615401954,0.0050179271121655765
test-54,0.001960728612592278,0.9542379438642973,0.04380132752311046
test-55,0.7323237125614508,0.08630563339455805,0.18137065404399116
test-56,0.003772940795678218,0.9617721365670772,0.03445492263724464
test-57,0.19527112918684977,0.7879971934180382,0.016731677395111992
test-58,0.1244135387542704,0.8320437395278129,0.04354272171791676
test-59,0.21976526799907212,0.5383119159352506,0.24192281606567723
test-60,0.8963275449833801,0.09818488965579537,0.00548756536082462
test-61,0.9660694580444469,0.0048012080337705605,0.0291293339217824
test-62,0.866349134305228,0.00047202219995927754,0.1331788434948128
test-63,0.9349078060563663,0.00044056695126158376,0.06465162699237202
test-64,0.320932666497645,0.6381897362063124,0.04087759729604264
test-65,0.9072389855791121,0.0007809322128485095,0.09198008220803935
test-66,0.10684767908722387,0.859413329693024,0.033738991219752205
test-67,0.15209029917148162,0.8047939483194354,0.04311575250908302
test-68,0.012116234059046466,0.9578582117227102,0.030025554218243253
test-69,0.9624116632201961,0.0022810691512477124,0.03530726762855614
test-70,0.005120434752364636,0.8851032910497392,0.10977627419789615
test-71,0.8360083749877973,1.138315407192906e-05,0.16398024185813068
test-72,0.05976344039583965,0.10323251881227279,0.8370040407918876
test-73,0.763031745576758,0.23283325783342118,0.004134996589820794
test-74,0.2937782731212224,0.6590128767731186,0.047208850105659
test-75,0.08962505534131172,0.830162320159884,0.0802126244988043
test-76,0.026629893417614157,0.9317325699920848,0.04163753659030121
test-77,0.3969461753795169,0.48753499498219727,0.11551882963828582
test-78,0.9668101954924765,0.004831202618220613,0.028358601889303073
test-79,0.9737516182850435,0.015426232054845581,0.010822149660110907
test-80,0.006995672052656566,0.9346952714851967,0.05830905646214683
test-81,0.7678674322366459,0.22559157013345676,0.006540997629897162
test-82,0.01765586114245597,0.8785065546219804,0.10383758423556358
test-83,0.08041704609241682,0.25559330719095213,0.6639896467166311
test-84,0.9578023121043858,0.01182584664475254,0.030371841250861578
test-85,0.7404727968361774,0.22352690304044656,0.03600030012337608
test-86,0.9502170173745628,0.0003591998037228474,0.04942378282171437
test-87,0.9630648419029727,0.011265511300599381,0.025669646796427997
