ID,A,B,NEITHER
test-1,0.020548327281411566,0.9334801192580956,0.045971553460492726
test-2,0.9664412160200555,0.009899417632056942,0.023659366347887466
test-3,0.9351760446549419,0.04542510432649443,0.019398851018563867
test-4,0.03144376721498017,0.8963148444065523,0.07224138837846748
test-5,0.9639353517076267,0.011769935992108058,0.024294712300265333
test-6,0.30516563131039803,0.6729587650403145,0.021875603649287544
test-7,0.9522351313168284,0.03369770220338853,0.014067166479783172
test-8,0.05135587498547556,0.8792420910542679,0.0694020339602565
test-9,0.9634578859150842,0.0037323056719828556,0.032809808412933066
test-10,0.0036602590873073882,0.953880596959495,0.042459143953197546
test-11,0.010385672116204244,0.9585318127024745,0.031082515181321345
test-12,0.6300952360928447,0.17122266945752598,0.1986820944496294
test-13,0.08319567925277682,0.8678215954735823,0.048982725273640865
test-14,0.006596545216878484,0.9601347584206791,0.03326869636244241
test-15,0.956496753350646,0.0019510610689615763,0.04155218558039253
test-16,0.9391040674636194,0.04073672670086767,0.020159205835512905
test-17,0.8805053680786847,0.0013482511829307768,0.1181463807383845
test-18,0.002853988510092584,0.6671235000829324,0.3300225114069749
test-19,0.9614810266768453,0.027706993245787535,0.010811980077367053
test-20,0.6387524552038131,0.01073645845896482,0.35051108633722206
test-21,0.00017179595605786217,0.9501729994579727,0.049655204585969316
test-22,0.102894547266171,0.8375124969571157,0.0595929557767133
test-23,0.8927435297892254,0.07947949495923069,0.027776975251543882
test-24,0.9639797374393593,0.005520591548552516,0.030499671012088243
test-25,0.7660259762506626,0.19794527513197044,0.036028748617366844
test-26,0.0099273817510502,0.9342687171815214,0.05580390106742845
test-27,0.888227083938231,0.08169035208013131,0.030082563981637653
test-28,0.02171165512410363,0.8270259637062668,0.15126238116962953
test-29,0.025106787538896835,0.9399413860896104,0.034951826371492696
test-30,0.9061670534405996,0.035957629399338636,0.05787531716006193
test-31,0.006257605914198236,0.9290086400726902,0.06473375401311163
test-32,0.09216814760375394,0.687288172508649,0.22054367988759693
test-33,0.6004842648927575,0.3809898113600906,0.018525923747151864
test-34,0.0435745967174775,0.8304397916142415,0.1259856116682809
test-35,0.34353979793414263,0.6213392404911817,0.03512096157467582
test-36,0.284042732668139,0.6807186800871471,0.03523858724471395
test-37,0.002328593975004363,0.8782963367159571,0.11937506930903856
test-38,0.008876549773852384,0.8755167342855327,0.115606715940615
test-39,0.002381177633516667,0.7390365680249669,0.2585822543415165
test-40,0.8974450201928683,8.574349154141157e-05,0.10246923631559021
test-41,0.022914696079371973,0.9336161993821004,0.04346910453852766
test-42,0.05348123716105352,0.012079971002511557,0.9344387918364349
test-43,0.821813048440945,0.0016166649548824117,0.1765702866041725
test-44,0.06163557575010841,0.9125040716825426,0.025860352567349018
test-45,0.17225481246207022,0.5907817617675897,0.23696342577034019
test-46,0.5971223523624996,0.24732069341471946,0.15555695422278107
test-47,0.03055318269717631,0.9165075535271093,0.05293926377571434
test-48,0.8974533174268657,5.963739718536269e-05,0.10248704517594902
test-49,0.02791348444687575,0.945602839987089,0.026483675566035248
test-50,0.8081906604261102,0.00230101962914419,0.1895083199447456
test-51,0.013693985866285114,0.9264407626699079,0.0598652514638069
test-52,0.9636008740950139,0.02276813890620158,0.013630986998784433
test-53,0.21632885706682686,0.7235310807752459,0.06014006215792722
test-54,0.00924592961608008,0.9575389989816475,0.03321507140227251
test-55,0.47131078200833676,0.1518646637908701,0.3768245542007932
test-56,0.00606455381689088,0.9546838168264589,0.03925162935665023
test-57,0.1734700261436608,0.7996513096290252,0.026878664227314095
test-58,0.2212355910884018,0.6917573692695054,0.08700703964209286
test-59,0.5197677265876283,0.37141476334635526,0.10881751006601639
